,loss,binary_crossentropy,kullback_leibler_divergence,mape,val_loss,val_binary_crossentropy,val_kullback_leibler_divergence,val_mape
102,0.010095885954797268,0.5007885098457336,-0.0002737992035690695,3000.003662109375,0.007236969191581011,0.5017886757850647,0.00041531221359036863,2792.51416015625
103,0.009708331897854805,0.5007493495941162,-0.0001342550094705075,2984.6376953125,0.008013421669602394,0.5018088221549988,0.002737718401476741,2777.428466796875
104,0.010274820029735565,0.500796377658844,-9.81463526841253e-05,2971.83056640625,0.00907185673713684,0.5018773674964905,-0.0028568608686327934,2765.760986328125
105,0.010485662147402763,0.500808596611023,3.144121001241729e-05,2957.321044921875,0.009358647279441357,0.5019183158874512,0.004601626191288233,2753.144775390625
106,0.011003134772181511,0.5008523464202881,-0.0001429919502697885,2944.806396484375,0.007400340400636196,0.5017873048782349,-0.002298280131071806,2742.280517578125
107,0.009985612705349922,0.5007538199424744,-9.299406519858167e-05,2931.12646484375,0.007050358224660158,0.501747727394104,0.00046594528248533607,2728.80126953125
108,0.009846527129411697,0.500744104385376,-0.00020188899361528456,2918.66552734375,0.008752189576625824,0.5018668174743652,-0.0011112975189462304,2717.765869140625
109,0.010109719820320606,0.5007566809654236,-0.00019108336709905416,2904.87451171875,0.007562775164842606,0.5017682909965515,-0.0010653578210622072,2704.837646484375
110,0.010187331587076187,0.5007634162902832,-0.0001788860245142132,2893.22265625,0.006787849124521017,0.5017184615135193,0.001532023656181991,2692.459228515625
111,0.009812879376113415,0.5007213354110718,-0.0001457476319046691,2878.79736328125,0.007025334518402815,0.5017420649528503,-0.0012545641511678696,2681.54296875
112,0.009743454866111279,0.500712513923645,-0.00016590241284575313,2867.219482421875,0.007903856225311756,0.5017771124839783,0.00031251131440512836,2668.570556640625
113,0.010192109271883965,0.5007580518722534,-5.984633389743976e-05,2852.802490234375,0.007104260381311178,0.5017163157463074,-0.0020260827150195837,2657.587158203125
114,0.00988094974309206,0.5007198452949524,-0.00018526092753745615,2841.718505859375,0.009109655395150185,0.501846432685852,0.0019183505792170763,2646.198974609375
115,0.009914487600326538,0.5007196664810181,-0.00022238827659748495,2828.736328125,0.007720800116658211,0.5017367601394653,0.003461165353655815,2632.048828125
116,0.009910780936479568,0.5007122755050659,-1.0558037502050865e-05,2816.719970703125,0.008636550046503544,0.5018008351325989,-0.004152401816099882,2623.150390625
117,0.010070695541799068,0.5007320046424866,-4.8067358875414357e-05,2805.02978515625,0.007519627921283245,0.5017170310020447,-0.0028610117733478546,2613.366455078125
118,0.010415161028504372,0.500742495059967,-0.00010458052565809339,2793.66259765625,0.00821944884955883,0.5017796754837036,-0.0008269701502285898,2601.919189453125
119,0.009956949390470982,0.5007086396217346,-0.00015269526920747012,2784.1337890625,0.009211665950715542,0.5018174648284912,-0.0044991932809352875,2593.77197265625
120,0.009852596558630466,0.5006970763206482,-8.523948781657964e-05,2773.396240234375,0.009269093163311481,0.5018322467803955,-0.00517007801681757,2583.87890625
121,0.01041033212095499,0.5007559657096863,-8.236327994382009e-05,2763.660888671875,0.008631560951471329,0.5017878413200378,-0.003865360515192151,2573.0849609375
122,0.00970916822552681,0.5006759762763977,-6.325818685581908e-05,2752.944091796875,0.007009606808423996,0.5016763806343079,-0.0010225485311821103,2563.28173828125
123,0.009618262760341167,0.5006692409515381,-9.069579391507432e-05,2741.858642578125,0.0075759245082736015,0.5016998052597046,-0.0024728106800466776,2555.48828125
124,0.010122958570718765,0.5007104277610779,-0.0002708696119952947,2732.750732421875,0.007398266810923815,0.5016982555389404,-0.0004985862760804594,2545.74267578125
125,0.0098049221560359,0.5006755590438843,1.681891080806963e-05,2722.929443359375,0.008523821830749512,0.5017600059509277,-2.9442806408042088e-05,2536.65966796875
126,0.009991970844566822,0.500686764717102,-0.0001551162131363526,2711.295166015625,0.010355946607887745,0.5018933415412903,0.002171810483559966,2526.591796875
127,0.010087268427014351,0.5006935596466064,-0.00013593962648883462,2703.162109375,0.009433587081730366,0.5018425583839417,0.004508609417825937,2517.550537109375
128,0.00962721835821867,0.50065016746521,-0.0001859597978182137,2693.444091796875,0.007048220839351416,0.5016776323318481,-0.0002744966186583042,2508.887451171875
129,0.009579021483659744,0.5006453394889832,-8.757871546549723e-05,2683.560791015625,0.008134652860462666,0.5017067193984985,-0.004597957246005535,2500.4267578125
130,0.010135280899703503,0.5006915330886841,-2.8867549190181307e-05,2674.224365234375,0.0073267072439193726,0.5016691088676453,-0.0006573079153895378,2490.024658203125
131,0.009733963757753372,0.5006517171859741,-5.7514538639225066e-05,2664.85400390625,0.008597336709499359,0.5017582178115845,0.005677035544067621,2480.923583984375
132,0.010263454169034958,0.5006985664367676,9.546268847770989e-05,2656.823974609375,0.014394371770322323,0.5022236108779907,-0.008005792275071144,2477.82470703125
133,0.009587176144123077,0.500637948513031,-9.228365524904802e-05,2646.669921875,0.008330506272614002,0.501740038394928,0.0022535594180226326,2466.161865234375
134,0.009952051565051079,0.5006697177886963,-4.308943243813701e-05,2638.330810546875,0.007105652708560228,0.5016666650772095,0.0002075202646665275,2458.16943359375
135,0.009361161850392818,0.5006191730499268,-1.8719283616519533e-05,2628.686767578125,0.008436319418251514,0.5017103552818298,-0.004192601889371872,2450.960693359375
136,0.00953772570937872,0.5006256103515625,-3.867382474709302e-05,2620.46142578125,0.006527680438011885,0.5016210675239563,0.001217466313391924,2440.736083984375
137,0.009820147417485714,0.5006458759307861,-4.592598634189926e-05,2611.858642578125,0.007561582140624523,0.5016680359840393,-0.0033586393110454082,2433.935302734375
138,0.009839466772973537,0.5006524324417114,1.908616286527831e-05,2603.2294921875,0.008945794776082039,0.5017664432525635,0.004840194247663021,2424.41064453125
139,0.009368523955345154,0.500598669052124,-5.413803592091426e-05,2594.483642578125,0.006265015807002783,0.5015972852706909,0.001230661990121007,2416.062255859375
140,0.00983943697065115,0.5006457567214966,-0.000146877282531932,2585.77490234375,0.007168931420892477,0.5016415119171143,-0.0008239214075729251,2409.812744140625
141,0.009752004407346249,0.500628650188446,-4.7583249397575855e-05,2577.9970703125,0.007090695668011904,0.5016435384750366,0.0010192162590101361,2402.181396484375
142,0.009314012713730335,0.5005998015403748,2.459027427903493e-06,2570.522216796875,0.007861155085265636,0.5016688108444214,-0.004948493093252182,2396.125732421875
